Order_ID,Timestamp_Order_Placed,Timestamp_Prep_Finished,Timestamp_Driver_Departed,Timestamp_Delivered,Kitchen_ID,Item_ID,Distance_KM,Order_Value_USD,Customer_Rating
ORD-1045,2026-01-18 15:33:00,2026-01-18 15:43:11.791562,2026-01-18 15:46:20.748560,2026-01-18 16:00:48.063556,K03,104,2.36,42.54,5.0
ORD-1046,2026-01-22 14:34:00,2026-01-22 14:43:00.364269,2026-01-22 14:46:05.832265,2026-01-22 15:09:03.301329,K01,102,7.26,18.09,5.0
ORD-1047,2026-02-16 22:30:00,2026-02-16 22:39:41.230190,2026-02-16 22:42:35.652538,2026-02-16 23:00:47.165972,K01,102,4.61,18.7,5.0
ORD-1048,2026-03-02 11:33:00,2026-03-02 11:46:53.080462,2026-03-02 11:51:41.008793,2026-03-02 12:20:24.542666,K01,101,11.16,29.35,3.1
ORD-1049,2026-01-16 17:57:00,2026-01-16 18:06:18.921693,2026-01-16 18:13:17.226170,2026-01-16 18:28:14.439507,K02,103,2.79,29.52,3.1
ORD-1050,2026-02-06 16:29:00,2026-02-06 16:37:44.175531,2026-02-06 16:43:12.131393,2026-02-06 17:05:21.517225,K01,103,8.42,43.92,2.7
ORD-1051,2026-02-17 22:23:00,2026-02-17 22:32:53.033328,2026-02-17 22:40:06.162889,2026-02-17 23:03:12.811190,K02,103,8.29,20.87,2.4
ORD-1052,2026-02-19 13:08:00,2026-02-19 13:13:49.669736,2026-02-19 13:17:07.812290,2026-02-19 13:41:30.416724,K02,105,9.44,28.14,5.0
ORD-1053,2026-02-05 11:28:00,2026-02-05 11:36:14.048620,2026-02-05 11:41:21.025108,2026-02-05 12:07:30.786777,K02,102,8.68,43.59,3.8
ORD-1054,2026-01-07 15:57:00,2026-01-07 16:07:51.078749,2026-01-07 16:13:47.902287,2026-01-07 16:40:50.648528,K02,104,9.08,49.01,3.9
ORD-1055,2026-02-22 14:48:00,2026-02-22 15:03:36.229308,2026-02-22 15:08:54.032160,2026-02-22 15:40:10.987585,K03,101,12.68,32.41,3.4
ORD-1056,2026-02-01 17:58:00,2026-02-01 18:07:23.721533,2026-02-01 18:16:41.936034,2026-02-01 18:48:19.915109,K03,103,13.13,47.17,1.0
ORD-1057,2026-01-26 18:26:00,2026-01-26 18:39:13.462587,2026-01-26 18:43:46.904579,2026-01-26 18:59:02.718947,K02,101,3.06,21.07,5.0
ORD-1058,2026-02-09 18:05:00,2026-02-09 18:14:27.500071,2026-02-09 18:18:38.380119,2026-02-09 18:43:14.998115,K03,102,7.98,40.37,5.0
ORD-1059,2026-01-05 10:17:00,2026-01-05 10:22:24.748280,2026-01-05 10:27:42.073295,2026-01-05 11:06:30.353651,K01,105,14.59,30.48,3.8
ORD-1060,2026-02-25 14:05:00,2026-02-25 14:21:05.926375,2026-02-25 14:25:31.883633,2026-02-25 15:04:05.301851,K02,101,14.61,22.57,3.9
ORD-1061,2026-01-12 22:07:00,2026-01-12 22:13:13.079025,2026-01-12 22:16:57.156041,2026-01-12 22:29:15.116580,K01,102,1.16,43.63,5.0
ORD-1062,2026-02-21 20:17:00,2026-02-21 20:25:32.578429,2026-02-21 20:30:06.132575,2026-02-21 20:39:49.033696,K03,103,1.8,23.49,5.0
ORD-1063,2026-01-20 14:15:00,2026-01-20 14:27:35.506974,2026-01-20 14:37:30.600170,2026-01-20 14:59:00.391301,K03,104,6.28,39.99,3.3
ORD-1064,2026-02-02 12:00:00,2026-02-02 12:11:30.971675,2026-02-02 12:13:56.286127,2026-02-02 12:46:57.429343,K02,104,13.21,24.46,3.1
ORD-1065,2026-02-07 18:57:00,2026-02-07 19:02:06.724120,2026-02-07 19:05:48.312207,2026-02-07 19:30:00.966052,K03,105,9.2,40.5,5.0
ORD-1066,2026-02-21 22:47:00,2026-02-21 22:54:50.661788,2026-02-21 22:58:08.471622,2026-02-21 23:19:53.920542,K03,103,6.02,21.97,2.8
ORD-1067,2026-01-23 15:05:00,2026-01-23 15:14:46.999317,2026-01-23 15:24:04.062782,2026-01-23 15:51:48.368097,K01,102,9.46,25.56,3.5
ORD-1068,2026-01-14 17:32:00,2026-01-14 17:47:04.286732,2026-01-14 17:50:42.272015,2026-01-14 18:28:28.378972,K03,101,14.25,39.61,3.4
ORD-1069,2026-01-24 11:19:00,2026-01-24 11:28:53.424960,2026-01-24 11:33:26.543243,2026-01-24 11:51:11.524917,K02,102,4.59,35.82,4.8
ORD-1070,2026-01-29 11:52:00,2026-01-29 11:58:21.529158,2026-01-29 12:03:23.252303,2026-01-29 12:22:58.374965,K01,105,7.1,38.4,4.6
ORD-1071,2026-02-04 13:39:00,2026-02-04 13:52:07.115192,2026-02-04 14:00:15.527693,2026-02-04 14:16:59.362456,K01,101,5.22,45.86,4.6
ORD-1072,2026-01-14 10:05:00,2026-01-14 10:17:13.389740,2026-01-14 10:26:40.988611,2026-01-14 10:47:53.215812,K01,104,6.47,19.68,3.3
ORD-1073,2026-01-08 12:56:00,2026-01-08 13:04:24.058009,2026-01-08 13:13:18.987872,2026-01-08 13:39:31.215726,K01,102,8.8,25.56,3.5
ORD-1074,2026-01-31 11:12:00,2026-01-31 11:19:41.727393,2026-01-31 11:25:47.688443,2026-01-31 11:41:31.698225,K02,103,4.4,46.59,3.0
ORD-1075,2026-02-15 16:16:00,2026-02-15 16:20:25.826642,2026-02-15 16:24:19.665576,2026-02-15 16:55:11.406746,K03,105,12.32,47.65,3.8
ORD-1076,2026-02-24 10:26:00,2026-02-24 10:35:58.503127,2026-02-24 10:38:58.876526,2026-02-24 11:11:44.370183,K02,103,12.01,39.17,1.1
ORD-1077,2026-01-29 22:33:00,2026-01-29 22:39:40.581336,2026-01-29 22:43:20.209737,2026-01-29 23:19:09.305915,K03,105,14.43,15.92,3.4
ORD-1078,2026-02-22 20:43:00,2026-02-22 20:59:55.560447,2026-02-22 21:04:00.186785,2026-02-22 21:29:07.526149,K01,101,8.39,36.1,5.0
ORD-1079,2026-02-01 12:53:00,2026-02-01 13:03:33.233479,2026-02-01 13:10:35.042313,2026-02-01 13:43:10.043701,K02,103,12.75,24.95,1.3
ORD-1080,2026-01-01 13:09:00,2026-01-01 13:13:38.837797,2026-01-01 13:20:14.401751,2026-01-01 13:31:44.334285,K02,105,1.71,27.21,5.0
ORD-1081,2026-01-02 16:12:00,2026-01-02 16:19:13.750196,2026-01-02 16:23:10.455214,2026-01-02 16:35:36.204438,K01,103,1.59,31.09,3.4
ORD-1082,2026-02-01 14:52:00,2026-02-01 15:01:22.537330,2026-02-01 15:05:29.966364,2026-02-01 15:27:53.976029,K01,104,6.8,44.13,4.9
ORD-1083,2026-01-06 15:44:00,2026-01-06 15:56:32.482194,2026-01-06 15:59:16.346854,2026-01-06 16:17:33.523953,K02,104,5.44,28.51,5.0
ORD-1084,2026-02-18 22:43:00,2026-02-18 22:50:34.202790,2026-02-18 22:57:12.175905,2026-02-18 23:30:20.701212,K03,105,12.6,45.37,4.0
ORD-1085,2026-02-14 22:29:00,2026-02-14 22:45:15.108399,2026-02-14 22:49:22.532595,2026-02-14 23:24:35.107655,K01,101,12.9,15.27,3.9
ORD-1086,2026-01-02 21:03:00,2026-01-02 21:14:30.328026,2026-01-02 21:17:03.334136,2026-01-02 21:30:24.267437,K02,103,2.61,16.01,3.5
ORD-1087,2026-02-26 18:22:00,2026-02-26 18:29:03.384756,2026-02-26 18:35:23.246875,2026-02-26 18:53:56.484035,K01,105,4.63,32.47,5.0
ORD-1088,2026-02-25 20:59:00,2026-02-25 21:06:15.990477,2026-02-25 21:13:49.451295,2026-02-25 21:32:21.440290,K02,102,5.75,16.43,5.0
ORD-1089,2026-02-17 20:45:00,2026-02-17 20:50:44.486441,2026-02-17 20:53:19.497822,2026-02-17 21:28:28.534430,K01,105,13.81,27.47,4.0
ORD-1090,2026-02-26 22:12:00,2026-02-26 22:26:43.053956,2026-02-26 22:36:41.838397,2026-02-26 23:05:15.374427,K01,101,11.54,15.75,3.6
ORD-1091,2026-02-04 21:00:00,2026-02-04 21:09:51.362249,2026-02-04 21:12:02.559991,2026-02-04 21:46:43.847441,K03,102,13.65,16.63,3.1
ORD-1092,2026-02-26 13:07:00,2026-02-26 13:16:06.246444,2026-02-26 13:23:16.753243,2026-02-26 13:57:45.365562,K03,103,13.68,30.64,1.0
ORD-1093,2026-02-13 13:11:00,2026-02-13 13:17:30.435019,2026-02-13 13:23:35.311462,2026-02-13 13:50:18.801864,K01,105,9.59,44.8,3.0
ORD-1094,2026-02-22 18:02:00,2026-02-22 18:16:37.422635,2026-02-22 18:22:17.835861,2026-02-22 18:52:51.676636,K01,101,10.38,41.75,3.4
ORD-1095,2026-02-27 14:12:00,2026-02-27 14:16:42.332526,2026-02-27 14:26:22.972932,2026-02-27 14:45:44.123198,K02,105,5.76,44.65,4.5
ORD-1096,2026-02-23 13:02:00,2026-02-23 13:08:32.225866,2026-02-23 13:10:35.740188,2026-02-23 13:34:46.961542,K03,102,7.74,49.31,5.0
ORD-1097,2026-02-26 18:00:00,2026-02-26 18:12:56.238311,2026-02-26 18:18:33.499499,2026-02-26 18:51:12.338347,K03,104,12.26,44.7,3.3
ORD-1098,2026-01-29 18:42:00,2026-01-29 18:49:22.603430,2026-01-29 18:53:18.562103,2026-01-29 19:04:29.841099,K01,105,1.58,39.57,5.0
ORD-1099,2026-01-14 16:25:00,2026-01-14 16:36:35.429147,2026-01-14 16:39:44.981835,2026-01-14 17:06:33.268701,K02,104,8.9,48.74,4.9
ORD-1100,2026-02-11 19:58:00,2026-02-11 20:07:31.214628,2026-02-11 20:11:52.845974,2026-02-11 20:37:52.520491,K02,103,9.2,20.55,2.3
ORD-1101,2026-02-08 15:36:00,2026-02-08 15:45:46.289279,2026-02-08 15:54:58.585617,2026-02-08 16:14:08.502323,K01,103,5.55,38.6,1.7
ORD-1102,2026-01-20 11:11:00,2026-01-20 11:25:50.837043,2026-01-20 11:28:32.524597,2026-01-20 11:53:12.445653,K01,101,8.01,46.07,4.6
ORD-1103,2026-01-05 14:48:00,2026-01-05 15:03:21.830597,2026-01-05 15:11:31.237202,2026-01-05 15:21:44.038491,K02,101,2.43,41.2,4.6
ORD-1104,2026-01-16 19:52:00,2026-01-16 19:57:48.271780,2026-01-16 20:03:11.507464,2026-01-16 20:25:31.119119,K02,105,8.31,25.66,5.0
ORD-1105,2026-01-27 19:39:00,2026-01-27 19:47:34.739679,2026-01-27 19:54:33.315502,2026-01-27 20:21:51.618456,K02,102,9.88,24.12,3.1
ORD-1106,2026-01-04 22:48:00,2026-01-04 22:55:40.394258,2026-01-04 23:04:53.470992,2026-01-04 23:31:13.859461,K01,102,10.46,43.6,3.6
ORD-1107,2026-01-04 21:08:00,2026-01-04 21:15:33.909213,2026-01-04 21:23:34.333623,2026-01-04 21:43:08.967974,K01,102,5.93,29.8,4.6
ORD-1108,2026-01-05 20:46:00,2026-01-05 20:55:56.101279,2026-01-05 20:58:34.118626,2026-01-05 21:14:30.172783,K02,102,3.94,15.81,4.8
ORD-1109,2026-02-15 15:26:00,2026-02-15 15:39:41.752063,2026-02-15 15:43:57.898430,2026-02-15 16:06:21.184885,K02,101,8.31,25.22,5.0
ORD-1110,2026-02-24 22:35:00,2026-02-24 22:42:29.141410,2026-02-24 22:49:38.981962,2026-02-24 23:00:28.197178,K01,105,2.62,40.55,4.7
ORD-1111,2026-01-19 14:09:00,2026-01-19 14:17:10.441738,2026-01-19 14:20:56.500094,2026-01-19 14:52:11.134391,K01,103,12.2,21.42,1.1
ORD-1112,2026-01-16 13:28:00,2026-01-16 13:35:29.264504,2026-01-16 13:43:56.371550,2026-01-16 14:02:51.638844,K02,103,5.22,42.07,2.4
ORD-1113,2026-03-02 15:38:00,2026-03-02 15:52:10.163959,2026-03-02 15:58:36.693200,2026-03-02 16:19:58.689312,K01,101,8.01,21.1,4.9
ORD-1114,2026-01-08 22:10:00,2026-01-08 22:19:09.255930,2026-01-08 22:25:31.146322,2026-01-08 22:36:21.665502,K03,102,2.87,27.97,5.0
ORD-1115,2026-01-17 12:58:00,2026-01-17 13:06:30.256443,2026-01-17 13:08:58.975721,2026-01-17 13:43:14.185904,K02,103,14.21,34.16,1.6
ORD-1116,2026-02-05 18:42:00,2026-02-05 18:55:58.507036,2026-02-05 19:03:13.702279,2026-02-05 19:23:49.534370,K03,101,5.81,19.35,5.0
ORD-1117,2026-02-03 18:03:00,2026-02-03 18:07:49.685508,2026-02-03 18:10:19.567015,2026-02-03 18:43:48.464823,K01,105,13.19,36.52,3.2
ORD-1118,2026-02-20 18:17:00,2026-02-20 18:30:28.769307,2026-02-20 18:39:45.931703,2026-02-20 19:11:48.946027,K03,103,12.03,29.53,1.0
ORD-1119,2026-01-20 22:51:00,2026-01-20 23:00:28.412149,2026-01-20 23:04:27.532945,2026-01-20 23:34:08.256068,K02,102,10.18,34.57,3.6
ORD-1120,2026-02-23 22:54:00,2026-02-23 23:00:57.590441,2026-02-23 23:09:08.971140,2026-02-23 23:31:32.055624,K02,102,8.25,18.5,3.9
ORD-1121,2026-02-20 21:55:00,2026-02-20 22:15:14.370411,2026-02-20 22:17:33.767988,2026-02-20 22:43:18.712676,K01,101,9.04,45.67,4.9
ORD-1122,2026-01-02 11:41:00,2026-01-02 11:48:14.550694,2026-01-02 11:54:37.848596,2026-01-02 12:29:41.439264,K02,105,14.04,32.62,3.1
ORD-1123,2026-02-20 14:11:00,2026-02-20 14:27:28.594082,2026-02-20 14:30:11.141758,2026-02-20 15:01:43.699905,K01,101,11.1,20.46,3.9
ORD-1124,2026-01-25 17:58:00,2026-01-25 18:03:57.554215,2026-01-25 18:08:32.634035,2026-01-25 18:23:57.649279,K03,105,5.01,22.17,4.7
ORD-1125,2026-01-20 16:02:00,2026-01-20 16:11:48.895157,2026-01-20 16:18:15.224507,2026-01-20 16:37:39.581171,K03,103,5.45,41.41,2.4
ORD-1126,2026-03-02 18:49:00,2026-03-02 19:05:53.778415,2026-03-02 19:08:35.793801,2026-03-02 19:35:50.677193,K03,101,10.75,34.16,4.7
ORD-1127,2026-01-19 18:09:00,2026-01-19 18:15:05.551575,2026-01-19 18:17:52.506436,2026-01-19 18:46:11.018240,K02,102,10.98,49.28,3.2
ORD-1128,2026-01-13 18:44:00,2026-01-13 18:52:51.206743,2026-01-13 18:58:39.942450,2026-01-13 19:08:12.678025,K02,103,2.02,18.25,3.4
ORD-1129,2026-02-13 12:05:00,2026-02-13 12:12:51.473645,2026-02-13 12:15:35.218767,2026-02-13 12:38:36.028860,K02,103,6.84,35.45,2.3
ORD-1130,2026-02-19 15:27:00,2026-02-19 15:41:32.693047,2026-02-19 15:43:56.614341,2026-02-19 16:05:44.210839,K03,101,6.25,30.06,5.0
ORD-1131,2026-02-27 18:54:00,2026-02-27 19:13:43.653247,2026-02-27 19:17:48.419784,2026-02-27 19:52:00.037648,K02,101,12.8,42.12,3.2
ORD-1132,2026-01-01 17:04:00,2026-01-01 17:20:19.225566,2026-01-01 17:26:31.455501,2026-01-01 17:52:46.502426,K02,101,9.87,33.36,3.3
ORD-1133,2026-01-16 21:47:00,2026-01-16 22:02:24.590676,2026-01-16 22:04:24.951268,2026-01-16 22:33:08.319603,K02,104,11.46,40.82,3.6
ORD-1134,2026-02-20 16:11:00,2026-02-20 16:20:31.236334,2026-02-20 16:30:11.393734,2026-02-20 16:52:47.033175,K03,103,6.39,35.17,2.2
ORD-1135,2026-01-29 21:18:00,2026-01-29 21:32:43.786346,2026-01-29 21:34:48.215981,2026-01-29 22:05:38.216180,K03,101,10.6,49.74,3.8
ORD-1136,2026-01-25 12:35:00,2026-01-25 12:45:58.376298,2026-01-25 12:55:40.765249,2026-01-25 13:22:59.062879,K01,104,11.13,46.16,3.7
ORD-1137,2026-02-23 14:19:00,2026-02-23 14:27:58.134020,2026-02-23 14:30:22.473427,2026-02-23 14:51:34.235711,K02,102,7.77,23.12,5.0
ORD-1138,2026-01-13 21:01:00,2026-01-13 21:13:49.276132,2026-01-13 21:17:51.700635,2026-01-13 21:47:31.968656,K01,104,12.23,16.53,3.1
ORD-1139,2026-02-08 19:43:00,2026-02-08 19:51:11.126635,2026-02-08 19:58:37.447450,2026-02-08 20:10:23.244104,K01,102,2.64,49.54,5.0
ORD-1140,2026-01-19 19:25:00,2026-01-19 19:35:21.944712,2026-01-19 19:37:31.166923,2026-01-19 19:48:43.979602,K03,104,1.5,37.08,4.8
ORD-1141,2026-01-08 18:30:00,2026-01-08 18:43:01.976419,2026-01-08 18:46:02.812380,2026-01-08 19:00:37.906868,K03,101,4.27,29.23,5.0
ORD-1142,2026-01-09 18:20:00,2026-01-09 18:32:03.299186,2026-01-09 18:41:07.039852,2026-01-09 19:13:21.547420,K02,103,13.6,41.26,1.2
ORD-1143,2026-02-17 11:32:00,2026-02-17 11:42:28.844288,2026-02-17 11:47:07.177734,2026-02-17 12:05:21.603671,K01,103,5.13,18.06,2.6
ORD-1144,2026-01-10 17:21:00,2026-01-10 17:30:06.191353,2026-01-10 17:39:40.818460,2026-01-10 17:55:39.830977,K01,103,5.4,19.72,2.5
ORD-1145,2026-01-11 16:34:00,2026-01-11 16:44:54.847999,2026-01-11 16:48:46.008775,2026-01-11 17:09:55.707203,K03,104,6.75,19.98,5.0
ORD-1146,2026-02-04 11:27:00,2026-02-04 11:37:15.076229,2026-02-04 11:44:19.908879,2026-02-04 12:07:22.775613,K01,104,7.39,18.41,3.7
ORD-1147,2026-01-30 15:00:00,2026-01-30 15:08:32.113531,2026-01-30 15:10:40.539387,2026-01-30 15:30:55.542151,K02,103,6.11,45.02,2.7
ORD-1148,2026-01-30 17:05:00,2026-01-30 17:10:47.430066,2026-01-30 17:15:15.534076,2026-01-30 17:28:00.437049,K03,105,3.85,30.98,4.7
ORD-1149,2026-01-14 16:00:00,2026-01-14 16:15:54.283304,2026-01-14 16:22:36.686269,2026-01-14 16:36:00.444870,K01,101,3.06,45.66,4.8
ORD-1150,2026-03-02 22:20:00,2026-03-02 22:30:50.316135,2026-03-02 22:35:37.807070,2026-03-02 22:47:41.002940,K01,103,2.15,19.08,3.1
ORD-1151,2026-01-24 16:26:00,2026-01-24 16:42:04.960616,2026-01-24 16:50:50.530354,2026-01-24 17:04:25.789955,K02,101,3.42,46.92,4.5
ORD-1152,2026-02-22 17:47:00,2026-02-22 17:56:08.975127,2026-02-22 17:59:11.732476,2026-02-22 18:16:02.776883,K02,103,5.76,41.18,3.4
ORD-1153,2026-02-28 15:18:00,2026-02-28 15:30:01.768008,2026-02-28 15:36:05.872911,2026-02-28 15:55:33.580312,K02,104,6.54,17.35,4.9
ORD-1154,2026-02-23 10:38:00,2026-02-23 10:45:27.779153,2026-02-23 10:49:32.938435,2026-02-23 11:03:35.664312,K02,105,2.06,31.4,4.7
ORD-1155,2026-01-01 10:09:00,2026-01-01 10:18:45.391772,2026-01-01 10:22:25.470310,2026-01-01 10:39:49.514869,K03,104,5.21,18.69,4.7
ORD-1156,2026-01-03 10:34:00,2026-01-03 10:42:03.059944,2026-01-03 10:49:49.937684,2026-01-03 11:02:32.201122,K02,103,2.91,42.38,3.1
ORD-1157,2026-01-10 17:33:00,2026-01-10 17:41:06.482213,2026-01-10 17:50:48.283696,2026-01-10 18:09:24.126820,K03,103,6.3,32.71,2.4
ORD-1158,2026-01-25 18:57:00,2026-01-25 19:10:08.880260,2026-01-25 19:13:08.106504,2026-01-25 19:29:10.082033,K02,101,3.33,44.1,5.0
ORD-1159,2026-02-23 20:31:00,2026-02-23 20:38:11.227566,2026-02-23 20:41:06.433768,2026-02-23 21:11:52.526447,K03,102,11.69,15.23,3.4
ORD-1160,2026-01-22 14:43:00,2026-01-22 14:59:34.504211,2026-01-22 15:04:28.575029,2026-01-22 15:34:52.657208,K03,101,12.35,20.3,4.0
ORD-1161,2026-02-18 19:34:00,2026-02-18 19:42:50.074813,2026-02-18 19:48:14.095002,2026-02-18 20:22:27.351616,K02,102,13.95,26.16,3.7
